date,K,code,rank,score,ret_gross,buy_cost,sell_cost,ret_net,trade_rule
2025-01-10,10,601005.SH,1,-0.0577298589050769,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,002266.SZ,2,-0.0606106929481029,0.003389830589294433,0.00041,0.00091,0.002069830589294433,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,600617.SH,3,-0.0686413943767547,0.00395256906747818,0.00041,0.00091,0.0026325690674781797,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,000926.SZ,4,-0.0699979066848754,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,002285.SZ,5,-0.0749405622482299,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,600343.SH,6,-0.0754388868808746,-0.001885014176368713,0.00041,0.00091,-0.003205014176368713,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,600157.SH,7,-0.0760775953531265,-0.006211180090904236,0.00041,0.00091,-0.007531180090904236,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,601868.SH,8,-0.0773131251335144,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,002316.SZ,9,-0.0787628144025802,0.003246753215789795,0.00041,0.00091,0.0019267532157897951,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,601619.SH,10,-0.0839512050151825,0.003154574036598205,0.00041,0.00091,0.0018345740365982052,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,600239.SH,1,-0.0753835141658783,-0.004081632792949676,0.00041,0.00091,-0.005401632792949676,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,603308.SH,2,-0.0780315548181533,-0.005632039904594421,0.00041,0.00091,-0.006952039904594421,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,000927.SZ,3,-0.0789960324764251,-0.008130081295967102,0.00041,0.00091,-0.009450081295967102,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,002778.SZ,4,-0.084765538573265,-0.012276785373687744,0.00041,0.00091,-0.013596785373687744,Buy@Close(t) Sell@Open(t+1)
