date,K,code,rank,score,ret_gross,buy_cost,sell_cost,ret_net,trade_rule
2025-01-10,10,603556.SH,1,0.1080310866236686,-0.002864508628845215,0.00041,0.00091,-0.0041845086288452155,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,002749.SZ,2,0.0980398803949356,-0.006428571343421936,0.00041,0.00091,-0.007748571343421936,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,600312.SH,3,0.0968767702579498,-0.002275312840938568,0.00041,0.00091,-0.003595312840938568,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,600388.SH,4,0.0795372948050499,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,600875.SH,5,0.0778590068221092,-0.004787961840629577,0.00041,0.00091,-0.006107961840629577,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,601398.SH,6,0.0777895376086235,0.001490312963724136,0.00041,0.00091,0.00017031296372413602,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,600015.SH,7,0.0767955109477043,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,000776.SZ,8,0.0711662247776985,0.0006535948067903511,0.00041,0.00091,-0.0006664051932096489,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,000885.SZ,9,0.0674158856272697,-0.002431118339300155,0.00041,0.00091,-0.003751118339300155,Buy@Close(t) Sell@Open(t+1)
2025-01-10,10,601717.SH,10,0.0660619735717773,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,002425.SZ,1,0.1690803468227386,-0.04629629611968994,0.00041,0.00091,-0.04761629611968994,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,601398.SH,2,0.0895568951964378,-0.001499250382184982,0.00041,0.00091,-0.002819250382184982,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,600028.SH,3,0.0873714685440063,0.0047694754600524905,0.00041,0.00091,0.0034494754600524905,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,000543.SZ,4,0.0860406681895256,-0.008746355772018433,0.00041,0.00091,-0.010066355772018433,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,603848.SH,5,0.0832202434539794,-0.002313030064105987,0.00041,0.00091,-0.0036330300641059868,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,600312.SH,6,0.082896314561367,-0.010582010746002195,0.00041,0.00091,-0.011902010746002195,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,600000.SH,7,0.0823480114340782,-0.006910167932510376,0.00041,0.00091,-0.008230167932510376,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,001223.SZ,8,0.0808649063110351,-0.002300613522529602,0.00041,0.00091,-0.003620613522529602,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,002010.SZ,9,0.0766270905733108,-0.004854368865489959,0.00041,0.00091,-0.006174368865489959,Buy@Close(t) Sell@Open(t+1)
2025-01-13,10,600339.SH,10,0.0722451135516166,0.006024096608161927,0.00041,0.00091,0.004704096608161927,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,603179.SH,1,0.1226941049098968,-0.0010869564861059181,0.00041,0.00091,-0.002406956486105918,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,603277.SH,2,0.1007964611053466,0.00714886486530304,0.00041,0.00091,0.00582886486530304,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,600233.SH,3,0.0864630863070488,0.009687034487724304,0.00041,0.00091,0.008367034487724304,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,001965.SZ,4,0.0804895684123039,-0.0038022813200950622,0.00041,0.00091,-0.005122281320095063,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,000543.SZ,5,0.0769652649760246,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,603279.SH,6,0.0668250024318695,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,000883.SZ,7,0.0584166198968887,0.004329004287719726,0.00041,0.00091,0.0030090042877197257,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,002270.SZ,8,0.0568578317761421,0.0030487805604934694,0.00041,0.00091,0.0017287805604934694,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,603193.SH,9,0.0562017634510993,0.001679966449737548,0.00041,0.00091,0.00035996644973754796,Buy@Close(t) Sell@Open(t+1)
2025-01-14,10,601369.SH,10,0.055261880159378,0.002544529139995575,0.00041,0.00091,0.0012245291399955748,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,002989.SZ,1,0.0893050208687782,-0.0034071549773216246,0.00041,0.00091,-0.004727154977321625,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,600919.SH,2,0.0715552419424057,-0.0010615710914134969,0.00041,0.00091,-0.002381571091413497,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,000975.SZ,3,0.0691212117671966,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,001965.SZ,4,0.0627571418881416,-0.0007479431480169289,0.00041,0.00091,-0.002067943148016929,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,002966.SZ,5,0.0608227662742137,-0.002528445124626159,0.00041,0.00091,-0.003848445124626159,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,600377.SH,6,0.0594736970961093,-0.002020201981067657,0.00041,0.00091,-0.003340201981067657,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,605117.SH,7,0.0580017417669296,-0.005139920115470886,0.00041,0.00091,-0.006459920115470886,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,002203.SZ,8,0.0566667020320892,-0.002764976918697357,0.00041,0.00091,-0.004084976918697357,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,600989.SH,9,0.0554670616984367,-0.004142011702060699,0.00041,0.00091,-0.005462011702060699,Buy@Close(t) Sell@Open(t+1)
2025-01-15,10,603129.SH,10,0.0548058003187179,-0.002356637865304947,0.00041,0.00091,-0.003676637865304947,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,605589.SH,1,0.1027072295546531,0.002012882381677627,0.00041,0.00091,0.0006928823816776271,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,601899.SH,2,0.0893562585115432,0.01584283947944641,0.00041,0.00091,0.01452283947944641,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,601398.SH,3,0.0864508002996444,0.001508295685052871,0.00041,0.00091,0.00018829568505287098,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,601166.SH,4,0.0861520171165466,0.010101009607315064,0.00041,0.00091,0.008781009607315064,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,601988.SH,5,0.0772951394319534,0.0036697247624397277,0.00041,0.00091,0.0023497247624397278,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,603129.SH,6,0.073767751455307,-0.005555555820465088,0.00041,0.00091,-0.006875555820465088,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,601992.SH,7,0.0734340846538543,0.005847952961921692,0.00041,0.00091,0.004527952961921692,Buy@Close(t) Sell@Open(t+1)
2025-01-16,10,600184.SH,8,0.0702604278922081,-0.000966183543205261,0.00041,0.00091,-0.002286183543205261,Buy@Close(t) Sell@Open(t+1)
