date,K,code,rank,score,ret_gross,buy_cost,sell_cost,ret_net,trade_rule
2025-01-10,5,600886.SH,1,0.3750557005405426,-0.002595717012882232,0.00041,0.00091,-0.003915717012882233,Buy@Close(t) Sell@Open(t+1)
2025-01-10,5,002188.SZ,2,0.287129133939743,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-10,5,002651.SZ,3,0.2642143964767456,-0.01244167923927307,0.00041,0.00091,-0.01376167923927307,Buy@Close(t) Sell@Open(t+1)
2025-01-10,5,600072.SH,4,0.2306205183267593,-0.006525285243988037,0.00041,0.00091,-0.007845285243988037,Buy@Close(t) Sell@Open(t+1)
2025-01-10,5,002696.SZ,5,0.2137761563062667,-0.006451612710952759,0.00041,0.00091,-0.007771612710952759,Buy@Close(t) Sell@Open(t+1)
2025-01-13,5,002875.SZ,1,2.1751177310943604,-0.008576329350471496,0.00041,0.00091,-0.009896329350471496,Buy@Close(t) Sell@Open(t+1)
2025-01-13,5,603101.SH,2,0.960524082183838,-0.036026201248168944,0.00041,0.00091,-0.037346201248168946,Buy@Close(t) Sell@Open(t+1)
2025-01-13,5,002221.SZ,3,0.7759008407592773,0.002183406054973602,0.00041,0.00091,0.0008634060549736022,Buy@Close(t) Sell@Open(t+1)
2025-01-13,5,600333.SH,4,0.7506849765777588,0.006535947918891906,0.00041,0.00091,0.005215947918891906,Buy@Close(t) Sell@Open(t+1)
2025-01-13,5,600396.SH,5,0.6306828260421753,-0.012244898080825805,0.00041,0.00091,-0.013564898080825805,Buy@Close(t) Sell@Open(t+1)
2025-01-14,5,002223.SZ,1,1.6019102334976196,-0.002631579041481018,0.00041,0.00091,-0.0039515790414810185,Buy@Close(t) Sell@Open(t+1)
2025-01-14,5,603556.SH,2,1.4017874002456665,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-14,5,600031.SH,3,1.2756222486495972,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-14,5,601369.SH,4,1.2138551473617554,0.002544529139995575,0.00041,0.00091,0.0012245291399955748,Buy@Close(t) Sell@Open(t+1)
2025-01-14,5,000682.SZ,5,1.0899871587753296,0.0054644811153411865,0.00041,0.00091,0.0041444811153411865,Buy@Close(t) Sell@Open(t+1)
2025-01-15,5,603283.SH,1,0.2972891926765442,-0.000994035750627517,0.00041,0.00091,-0.002314035750627517,Buy@Close(t) Sell@Open(t+1)
2025-01-15,5,002310.SZ,2,0.2713733315467834,0.041666665077209473,0.00041,0.00091,0.04034666507720947,Buy@Close(t) Sell@Open(t+1)
2025-01-15,5,605116.SH,3,0.1576029956340789,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-15,5,002490.SZ,4,0.1269835382699966,0.01712328791618347,0.00041,0.00091,0.01580328791618347,Buy@Close(t) Sell@Open(t+1)
2025-01-15,5,002012.SZ,5,0.1155080497264862,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-16,5,603871.SH,1,1.3940118551254272,0.0028818443417549127,0.00041,0.00091,0.0015618443417549127,Buy@Close(t) Sell@Open(t+1)
2025-01-16,5,002249.SZ,2,0.6672549247741699,0.005328596830368042,0.00041,0.00091,0.004008596830368042,Buy@Close(t) Sell@Open(t+1)
2025-01-16,5,601006.SH,3,0.5174686312675476,-0.001577287018299102,0.00041,0.00091,-0.002897287018299102,Buy@Close(t) Sell@Open(t+1)
2025-01-16,5,603128.SH,4,0.4677266776561737,-0.0032310178875923153,0.00041,0.00091,-0.004551017887592315,Buy@Close(t) Sell@Open(t+1)
2025-01-16,5,002470.SZ,5,0.4220144748687744,0.0054644811153411865,0.00041,0.00091,0.0041444811153411865,Buy@Close(t) Sell@Open(t+1)
2025-01-17,5,002490.SZ,1,0.3338021636009216,0.003105590045452118,0.00041,0.00091,0.0017855900454521179,Buy@Close(t) Sell@Open(t+1)
2025-01-17,5,601107.SH,2,0.2649805247783661,-0.004048582911491394,0.00041,0.00091,-0.005368582911491394,Buy@Close(t) Sell@Open(t+1)
2025-01-17,5,600261.SH,3,0.2166829854249954,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-17,5,002777.SZ,4,0.1680065244436264,-0.006715506911277771,0.00041,0.00091,-0.00803550691127777,Buy@Close(t) Sell@Open(t+1)
2025-01-17,5,600319.SH,5,0.1482278108596801,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-20,5,600828.SH,1,0.6958869695663452,0.01891891837120056,0.00041,0.00091,0.01759891837120056,Buy@Close(t) Sell@Open(t+1)
2025-01-20,5,603155.SH,2,0.3695124089717865,0.006982156634330749,0.00041,0.00091,0.005662156634330749,Buy@Close(t) Sell@Open(t+1)
2025-01-20,5,605138.SH,3,0.3150238990783691,0.009242144227027892,0.00041,0.00091,0.007922144227027892,Buy@Close(t) Sell@Open(t+1)
2025-01-20,5,000501.SZ,4,0.2909752130508423,0.003488371968269348,0.00041,0.00091,0.002168371968269348,Buy@Close(t) Sell@Open(t+1)
2025-01-20,5,001314.SZ,5,0.2591845393180847,0.013507429361343384,0.00041,0.00091,0.012187429361343384,Buy@Close(t) Sell@Open(t+1)
2025-01-21,5,002012.SZ,1,0.4393902122974396,0.012295081615447997,0.00041,0.00091,0.010975081615447997,Buy@Close(t) Sell@Open(t+1)
2025-01-21,5,002722.SZ,2,0.296713262796402,0.004710632562637329,0.00041,0.00091,0.0033906325626373293,Buy@Close(t) Sell@Open(t+1)
2025-01-21,5,603936.SH,3,0.2758206725120544,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-21,5,002248.SZ,4,0.2606722116470337,0.0024752475321292867,0.00041,0.00091,0.0011552475321292867,Buy@Close(t) Sell@Open(t+1)
2025-01-21,5,002998.SZ,5,0.2278328686952591,0.001587301641702652,0.00041,0.00091,0.0002673016417026519,Buy@Close(t) Sell@Open(t+1)
2025-01-22,5,600282.SH,1,0.7176626324653625,-0.002314814776182174,0.00041,0.00091,-0.003634814776182174,Buy@Close(t) Sell@Open(t+1)
2025-01-22,5,000523.SZ,2,0.2058175057172775,0.006825938820838928,0.00041,0.00091,0.005505938820838928,Buy@Close(t) Sell@Open(t+1)
2025-01-22,5,001260.SZ,3,0.1992938965559005,0.0071727436780929564,0.00041,0.00091,0.0058527436780929564,Buy@Close(t) Sell@Open(t+1)
2025-01-22,5,000158.SZ,4,0.1939959675073623,-0.006704486608505249,0.00041,0.00091,-0.008024486608505249,Buy@Close(t) Sell@Open(t+1)
2025-01-22,5,002448.SZ,5,0.1869788765907287,-0.005952380895614624,0.00041,0.00091,-0.007272380895614624,Buy@Close(t) Sell@Open(t+1)
2025-01-23,5,002867.SZ,1,0.301445871591568,0.006430867910385132,0.00041,0.00091,0.005110867910385132,Buy@Close(t) Sell@Open(t+1)
2025-01-23,5,000581.SZ,2,0.2625735998153686,0.00874316930770874,0.00041,0.00091,0.007423169307708741,Buy@Close(t) Sell@Open(t+1)
2025-01-23,5,000060.SZ,3,0.2578951716423034,0.004210526347160339,0.00041,0.00091,0.0028905263471603387,Buy@Close(t) Sell@Open(t+1)
2025-01-23,5,002012.SZ,4,0.2427806705236435,0.006396588683128357,0.00041,0.00091,0.005076588683128357,Buy@Close(t) Sell@Open(t+1)
2025-01-23,5,000758.SZ,5,0.2281331866979599,0.006097561120986939,0.00041,0.00091,0.004777561120986939,Buy@Close(t) Sell@Open(t+1)
2025-01-24,5,002494.SZ,1,0.5178621411323547,0.029411764144897462,0.00041,0.00091,0.02809176414489746,Buy@Close(t) Sell@Open(t+1)
2025-01-24,5,001225.SZ,2,0.139827162027359,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-24,5,601006.SH,3,0.118471935391426,-0.0015748031437397,0.00041,0.00091,-0.0028948031437397003,Buy@Close(t) Sell@Open(t+1)
2025-01-24,5,002675.SZ,4,0.0979738682508468,-0.003182179927825928,0.00041,0.00091,-0.0045021799278259274,Buy@Close(t) Sell@Open(t+1)
2025-01-24,5,603182.SH,5,0.0959327816963195,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-27,5,002678.SZ,1,0.6713513731956482,-0.00460829496383667,0.00041,0.00091,-0.00592829496383667,Buy@Close(t) Sell@Open(t+1)
2025-01-27,5,002368.SZ,2,0.3587730228900909,-0.000425894372165203,0.00041,0.00091,-0.001745894372165203,Buy@Close(t) Sell@Open(t+1)
2025-01-27,5,002544.SZ,3,0.3386335074901581,0.003976143002510071,0.00041,0.00091,0.002656143002510071,Buy@Close(t) Sell@Open(t+1)
2025-01-27,5,002259.SZ,4,0.3340360224246979,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-01-27,5,600031.SH,5,0.2905362844467163,0.005555555820465088,0.00041,0.00091,0.004235555820465088,Buy@Close(t) Sell@Open(t+1)
2025-02-05,5,603868.SH,1,0.2290666550397873,0.00596421480178833,0.00041,0.00091,0.00464421480178833,Buy@Close(t) Sell@Open(t+1)
2025-02-05,5,601298.SH,2,0.2165002673864364,-0.001085776314139366,0.00041,0.00091,-0.002405776314139366,Buy@Close(t) Sell@Open(t+1)
2025-02-05,5,600671.SH,3,0.2049032896757125,0.05042016983032226,0.00041,0.00091,0.04910016983032226,Buy@Close(t) Sell@Open(t+1)
2025-02-05,5,600713.SH,4,0.1620902121067047,0.0020449897646903988,0.00041,0.00091,0.0007249897646903988,Buy@Close(t) Sell@Open(t+1)
2025-02-05,5,001872.SZ,5,0.1613286137580871,-0.003825920522212982,0.00041,0.00091,-0.005145920522212982,Buy@Close(t) Sell@Open(t+1)
2025-02-06,5,002197.SZ,1,0.2571311891078949,0.02244389057159424,0.00041,0.00091,0.021123890571594237,Buy@Close(t) Sell@Open(t+1)
2025-02-06,5,600269.SH,2,0.1707511693239212,0.0019230769574642178,0.00041,0.00091,0.0006030769574642179,Buy@Close(t) Sell@Open(t+1)
2025-02-06,5,600018.SH,3,0.1583131700754165,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-02-06,5,601825.SH,4,0.1415590643882751,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-02-06,5,002883.SZ,5,0.139125570654869,0.0,0.00041,0.00091,-0.00132,Buy@Close(t) Sell@Open(t+1)
2025-02-07,5,603826.SH,1,0.2633861899375915,-0.0030090269446372982,0.00041,0.00091,-0.004329026944637299,Buy@Close(t) Sell@Open(t+1)
2025-02-07,5,603679.SH,2,0.2013686150312423,0.004569687843322754,0.00041,0.00091,0.003249687843322754,Buy@Close(t) Sell@Open(t+1)
2025-02-07,5,603861.SH,3,0.1924546360969543,0.008810572624206543,0.00041,0.00091,0.007490572624206543,Buy@Close(t) Sell@Open(t+1)
2025-02-07,5,603439.SH,4,0.1855303943157196,-0.003032600581645965,0.00041,0.00091,-0.004352600581645966,Buy@Close(t) Sell@Open(t+1)
2025-02-07,5,000065.SZ,5,0.179751455783844,-0.002072538882493972,0.00041,0.00091,-0.003392538882493972,Buy@Close(t) Sell@Open(t+1)
