date,rank,code,score,true_open_return
2025-01-10,1,601005.SH,-0.05772985890507698,0.0
2025-01-10,2,002266.SZ,-0.06061069294810295,0.33898305892944336
2025-01-10,3,600617.SH,-0.06864139437675476,0.395256906747818
2025-01-10,4,000926.SZ,-0.06999790668487549,0.0
2025-01-10,5,002285.SZ,-0.07494056224822998,0.0
2025-01-10,6,600343.SH,-0.07543888688087463,-0.18850141763687134
2025-01-10,7,600157.SH,-0.07607759535312653,-0.6211180090904236
2025-01-10,8,601868.SH,-0.0773131251335144,0.0
2025-01-10,9,002316.SZ,-0.07876281440258026,0.3246753215789795
2025-01-10,10,601619.SH,-0.0839512050151825,0.31545740365982056
2025-01-10,11,601016.SH,-0.08407443761825562,0.0
2025-01-10,12,002451.SZ,-0.08721405267715454,-0.16233766078948975
2025-01-10,13,002420.SZ,-0.0897337794303894,0.0
2025-01-10,14,601002.SH,-0.08992134034633636,0.0
2025-01-10,15,603192.SH,-0.0908861756324768,0.2722940742969513
2025-01-10,16,603212.SH,-0.09340184926986694,-0.2024291455745697
2025-01-10,17,603931.SH,-0.09409891068935394,-0.13434840738773346
2025-01-10,18,002980.SZ,-0.09422610700130463,0.32258063554763794
2025-01-10,19,002724.SZ,-0.09449626505374908,-0.2016129046678543
2025-01-10,20,002057.SZ,-0.09473103284835815,-0.1422475129365921
2025-01-13,1,600239.SH,-0.0753835141658783,-0.40816327929496765
2025-01-13,2,603308.SH,-0.07803155481815338,-0.5632039904594421
2025-01-13,3,000927.SZ,-0.07899603247642517,-0.8130081295967102
2025-01-13,4,002778.SZ,-0.08476553857326508,-1.2276785373687744
2025-01-13,5,600989.SH,-0.08617144823074341,0.3021148145198822
2025-01-13,6,600663.SH,-0.08975878357887268,-1.1627906560897827
2025-01-13,7,002012.SZ,-0.09665116667747498,-0.460829496383667
2025-01-13,8,000545.SZ,-0.09725002944469452,-1.9417475461959839
2025-01-13,9,603848.SH,-0.09747752547264099,-0.23130300641059875
2025-01-13,10,002798.SZ,-0.09794516861438751,-0.2958579957485199
2025-01-13,11,603798.SH,-0.09841251373291016,-1.2373453378677368
2025-01-13,12,000933.SZ,-0.10180741548538208,-0.8087810277938843
2025-01-13,13,600378.SH,-0.10328081250190735,-0.8704062104225159
2025-01-13,14,000807.SZ,-0.10430833697319031,-1.298701286315918
2025-01-13,15,605369.SH,-0.10430973768234253,0.07186489552259445
2025-01-13,16,605196.SH,-0.10447201132774353,-1.0135135650634766
2025-01-13,17,000633.SZ,-0.10656021535396576,6.714628219604492
2025-01-13,18,002532.SZ,-0.10713896155357361,-0.9756097793579102
2025-01-13,19,603906.SH,-0.10749456286430359,0.32085561752319336
2025-01-13,20,002068.SZ,-0.10766138136386871,-1.6115351915359497
2025-01-14,1,002310.SZ,-0.0075845494866371155,2.7322404384613037
2025-01-14,2,600375.SH,-0.014377955347299576,1.923076868057251
2025-01-14,3,603959.SH,-0.03775939717888832,1.8099547624588013
2025-01-14,4,000875.SZ,-0.05911983177065849,0.0
2025-01-14,5,000751.SZ,-0.05938639119267464,-0.35971224308013916
2025-01-14,6,600759.SH,-0.06859011948108673,-1.3333333730697632
2025-01-14,7,600166.SH,-0.07800595462322235,0.42918455600738525
2025-01-14,8,600233.SH,-0.07878109812736511,0.9687034487724304
2025-01-14,9,601399.SH,-0.08225008845329285,-0.3484320640563965
2025-01-14,10,600511.SH,-0.08832286298274994,0.5215123891830444
2025-01-14,11,605369.SH,-0.09023025631904602,0.0
2025-01-14,12,600252.SH,-0.09505239129066467,0.43668121099472046
2025-01-14,13,000100.SZ,-0.09598764777183533,-0.41580042243003845
2025-01-14,14,000933.SZ,-0.09615905582904816,-0.05586592108011246
2025-01-14,15,000301.SZ,-0.09913729131221771,-0.3610108196735382
2025-01-14,16,600663.SH,-0.10069343447685242,0.6872852444648743
2025-01-14,17,002259.SZ,-0.10146661102771759,-0.4651162922382355
2025-01-14,18,601615.SH,-0.1032126396894455,-0.0931098684668541
2025-01-14,19,002010.SZ,-0.10364580154418945,-0.23923444747924805
2025-01-14,20,601033.SH,-0.1053629219532013,0.0
2025-01-15,1,002310.SZ,0.03081541880965233,4.166666507720947
2025-01-15,2,002490.SZ,0.01188010722398758,1.7123287916183472
2025-01-15,3,000070.SZ,0.00768338143825531,0.0
2025-01-15,4,002141.SZ,-0.02040378749370575,0.0
2025-01-15,5,600731.SH,-0.035407062619924545,0.0
2025-01-15,6,600252.SH,-0.03714003041386604,0.4237288236618042
2025-01-15,7,002524.SZ,-0.05194740369915962,0.0
2025-01-15,8,600115.SH,-0.05244826152920723,0.0
2025-01-15,9,601111.SH,-0.052779216319322586,0.25673940777778625
2025-01-15,10,603227.SH,-0.053879138082265854,0.11481056362390518
2025-01-15,11,002748.SZ,-0.055076900869607925,-0.5973715782165527
2025-01-15,12,002093.SZ,-0.058342207223176956,0.39630118012428284
2025-01-15,13,603758.SH,-0.059391994029283524,0.8423585891723633
2025-01-15,14,002316.SZ,-0.05942470207810402,0.949367105960846
