date,rank,code,score,true_open_return
2025-01-10,1,002285.SZ,-0.04247917979955673,0.0
2025-01-10,2,000926.SZ,-0.04761640727519989,0.0
2025-01-10,3,600617.SH,-0.04813027381896973,0.395256906747818
2025-01-10,4,600343.SH,-0.049749113619327545,-0.18850141763687134
2025-01-10,5,601016.SH,-0.052844442427158356,0.0
2025-01-10,6,002266.SZ,-0.05586613714694977,0.33898305892944336
2025-01-10,7,601005.SH,-0.05597104877233505,0.0
2025-01-10,8,002316.SZ,-0.057029493153095245,0.3246753215789795
2025-01-10,9,601818.SH,-0.070069819688797,0.0
2025-01-10,10,601158.SH,-0.07255231589078903,0.0
2025-01-10,11,600743.SH,-0.07271599024534225,-1.3698630332946777
2025-01-10,12,000510.SZ,-0.07335394620895386,-0.2747252881526947
2025-01-10,13,002786.SZ,-0.07407236844301224,-0.22148394584655762
2025-01-10,14,603212.SH,-0.07488679885864258,-0.2024291455745697
2025-01-10,15,002787.SZ,-0.07532200217247009,-0.1300390064716339
2025-01-10,16,601619.SH,-0.07591165602207184,0.31545740365982056
2025-01-10,17,601868.SH,-0.07632285356521606,0.0
2025-01-10,18,600157.SH,-0.07708986103534698,-0.6211180090904236
2025-01-10,19,002862.SZ,-0.07813747972249985,8.433734893798828
2025-01-10,20,002196.SZ,-0.07968615740537643,-0.18903592228889465
2025-01-13,1,000545.SZ,-0.055751435458660126,-1.9417475461959839
2025-01-13,2,600239.SH,-0.057104580104351044,-0.40816327929496765
2025-01-13,3,000927.SZ,-0.06273621320724487,-0.8130081295967102
2025-01-13,4,600378.SH,-0.07109862565994263,-0.8704062104225159
2025-01-13,5,605499.SH,-0.07890227437019348,-0.4080011546611786
2025-01-13,6,601992.SH,-0.07903525233268738,-0.6097561120986938
2025-01-13,7,605196.SH,-0.08445792645215988,-1.0135135650634766
2025-01-13,8,000933.SZ,-0.08724856376647949,-0.8087810277938843
2025-01-13,9,600170.SH,-0.09367510676383972,-0.41152262687683105
2025-01-13,10,603606.SH,-0.09436890482902527,-1.1328339576721191
2025-01-13,11,002532.SZ,-0.09724719822406769,-0.9756097793579102
2025-01-13,12,600131.SH,-0.09746338427066803,-0.39840638637542725
2025-01-13,13,600711.SH,-0.0975860208272934,-0.8196721076965332
2025-01-13,14,001313.SZ,-0.09981131553649902,-0.9900990128517151
2025-01-13,15,601916.SH,-0.10020436346530914,0.0
2025-01-13,16,603338.SH,-0.10410705208778381,-0.3967043161392212
2025-01-13,17,001872.SZ,-0.10541392862796783,-0.14977534115314484
2025-01-13,18,002743.SZ,-0.10773198306560516,-1.876172661781311
2025-01-13,19,600905.SH,-0.1077522486448288,-0.24038460850715637
2025-01-13,20,603306.SH,-0.11004027724266052,-1.8209877014160156
2025-01-14,1,002310.SZ,0.019780358299613,2.7322404384613037
2025-01-14,2,600375.SH,0.005788145586848259,1.923076868057251
2025-01-14,3,603959.SH,-0.03217034041881561,1.8099547624588013
2025-01-14,4,000751.SZ,-0.041533127427101135,-0.35971224308013916
2025-01-14,5,600759.SH,-0.0573432520031929,-1.3333333730697632
2025-01-14,6,600576.SH,-0.06401161849498749,6.666666507720947
2025-01-14,7,000875.SZ,-0.06510031968355179,0.0
2025-01-14,8,603358.SH,-0.07045775651931763,0.0
2025-01-14,9,002259.SZ,-0.07290957868099213,-0.4651162922382355
2025-01-14,10,601399.SH,-0.07438019663095474,-0.3484320640563965
2025-01-14,11,600166.SH,-0.07516628503799438,0.42918455600738525
2025-01-14,12,600408.SH,-0.07538177818059921,1.0752688646316528
2025-01-14,13,002244.SZ,-0.08313305675983429,0.0
2025-01-14,14,600489.SH,-0.08453316241502762,-1.2461059093475342
2025-01-14,15,601127.SH,-0.08491240441799164,-0.5984848737716675
2025-01-14,16,000933.SZ,-0.08673166483640671,-0.05586592108011246
2025-01-14,17,000975.SZ,-0.0885886400938034,-1.4117647409439087
2025-01-14,18,000789.SZ,-0.09367039799690247,-0.19723865389823914
2025-01-14,19,600252.SH,-0.0944744348526001,0.43668121099472046
2025-01-14,20,000301.SZ,-0.09539724886417389,-0.3610108196735382
2025-01-15,1,002310.SZ,0.05898093432188034,4.166666507720947
2025-01-15,2,000070.SZ,0.031625598669052124,0.0
2025-01-15,3,002490.SZ,0.010141858831048012,1.7123287916183472
