date,rank,code,score,true_open_return
2025-01-10,1,600886.SH,0.3750557005405426,-0.25957170128822327
2025-01-10,2,002188.SZ,0.28712913393974304,0.0
2025-01-10,3,002651.SZ,0.2642143964767456,-1.2441679239273071
2025-01-10,4,600072.SH,0.23062051832675934,-0.6525285243988037
2025-01-10,5,002696.SZ,0.21377615630626678,-0.6451612710952759
2025-01-10,6,002145.SZ,0.20860518515110016,0.23529411852359772
2025-01-10,7,600645.SH,0.19808930158615112,0.15274949371814728
2025-01-10,8,600688.SH,0.18652525544166565,0.0
2025-01-10,9,002259.SZ,0.17882616817951202,-0.45045045018196106
2025-01-10,10,603709.SH,0.17738622426986694,0.09433962404727936
2025-01-10,11,002983.SZ,0.15535829961299896,0.1092299297451973
2025-01-10,12,000096.SZ,0.15288874506950378,-0.17050299048423767
2025-01-10,13,601369.SH,0.15248654782772064,0.7575757503509521
2025-01-10,14,002034.SZ,0.14779195189476013,0.0
2025-01-10,15,000400.SZ,0.14693403244018555,-0.7111813426017761
2025-01-10,16,600078.SH,0.1440603882074356,-1.1235954761505127
2025-01-10,17,605116.SH,0.1437349170446396,0.2093144953250885
2025-01-10,18,600792.SH,0.1428477019071579,0.0
2025-01-10,19,603630.SH,0.1316007822751999,-0.08389262109994888
2025-01-10,20,003017.SZ,0.130684494972229,-0.7604562640190125
2025-01-13,1,002875.SZ,2.1751177310943604,-0.8576329350471497
2025-01-13,2,603101.SH,0.9605240821838379,-3.6026201248168945
2025-01-13,3,002221.SZ,0.7759008407592773,0.21834060549736023
2025-01-13,4,600333.SH,0.7506849765777588,0.6535947918891907
2025-01-13,5,600396.SH,0.6306828260421753,-1.2244898080825806
2025-01-13,6,603107.SH,0.3123701810836792,-0.9721322059631348
2025-01-13,7,600212.SH,0.3015071451663971,-1.1782032251358032
2025-01-13,8,000757.SZ,0.29570579528808594,-1.671309232711792
2025-01-13,9,000586.SZ,0.2723805010318756,-0.11428571492433548
2025-01-13,10,603195.SH,0.25633618235588074,-0.872651994228363
